ID_Ra;Navn;DSK Kategori;Produkt;Kategori;Total kg CO2e/kg
Ra00377;Rødvin, uspec.;Drikkevarer;Rødvin;Vin, øl og spiritus;1,65
Ra00378;Hvidvin, mousserende, champagne;Drikkevarer;Hvidvin, mousserende, champagne;Vin, øl og spiritus;1,65
Ra00379;Bagegær, presset, rå;Brød/bageartikler;Bagegær, presset;Brød og bageartikler;1,18
Ra00380;Cocktailpølser;Kød/fjerkræ;Grisekød, cocktailpølser;Kød og fjerkræ;2,16
Ra00381;Pesto;Krydderier/konserveringsmidler/ekstrakter;Pesto;Smagsgivere og krydderier;4,24
Ra00382;Lasagne, oksekød, færdigretter;Tilberedte/konserverede fødevarer;Lasagne, oksekød, færdigretter;Færdigretter;12,16
Ra00383;Lasagne, vegetarisk, færdigretter;Tilberedte/konserverede fødevarer;Lasagne, vegetarisk, færdigretter;Færdigretter;1,53
Ra00384;Daal, færdigretter;Tilberedte/konserverede fødevarer;Daal, færdigretter;Færdigretter;2,11
Ra00385;Sushi, færdigretter;Tilberedte/konserverede fødevarer;Sushi, færdigretter;Færdigretter;2,30
Ra00386;Hakket kylling;Kød/fjerkræ;Kylling, hakket;Kød og fjerkræ;5,71
Ra00387;Pizzadej;Brød/bageartikler;Pizzadej;Brød og bageartikler;1,07
Ra00388;Frisk pasta, fettucine spinat;Tilberedte/konserverede fødevarer;Frisk pasta, fettucine spinat;Korn og kornprodukter;1,53
Ra00389;Tunsalat;Krydderier/konserveringsmidler/ekstrakter;Tunsalat;Smagsgivere og krydderier;2,06
Ra00390;Æggesalat;Tilberedte/konserverede fødevarer;Æggesalat;Smagsgivere og krydderier;1,50
Ra00391;Frikadeller;Kød/fjerkræ;Grisekød, frikadeller;Kød og fjerkræ;3,61
Ra00392;Hummus, færdig;Krydderier/konserveringsmidler/ekstrakter;Hummus, færdig;Bælgfrugter og bælgfrugtprodukter;2,26
Ra00393;Lasagne, vegansk, færdigretter;Tilberedte/konserverede fødevarer;Lasagne, vegansk, færdigretter;Færdigretter;1,46
Ra00394;Pandekager, færdigretter;Tilberedte/konserverede fødevarer;Pandekager, færdigretter;Færdigretter;2,44
Ra00395;Kartoffelgratin / flødekartofler;Frugt/grøntsagsprodukter;Kartoffelgratin / flødekartofler;Grøntsager og grøntsagsprodukter;1,07
Ra00396;Kebab;Kød/fjerkræ;Oksekød, kebab;Kød og fjerkræ;53,92
Ra00397;Icetea, fersken;Drikkevarer;Iste, icetea, fersken, tetra brik;Drikkevarer;0,94
Ra00398;Energidrik;Drikkevarer;Energidrik, dåse;Drikkevarer;0,58
Ra00399;Alko-sodavand, 4 %;Drikkevarer;Alko-sodavand, 4 % vol.;Vin, øl og spiritus;0,90
Ra00400;Salsa, hot;Frugt/grøntsagsprodukter;Salsa, hot;Smagsgivere og krydderier;1,42
